cat_idx,cat_id,cat_name_zh,image_filename
36,36-burmese-sable,缅甸猫深褐色,36_缅甸猫深褐色.png
37,37-tonkinese-mink,东奇尼猫貂色,37_东奇尼猫貂色.png
38,38-peterbald,彼得秃猫,38_彼得秃猫.png
39,39-snowshoe,雪鞋猫,39_雪鞋猫.png
40,40-bombay,孟买猫,40_孟买猫.png
41,41-british-shorthair-blue,英国短毛猫蓝色,41_英国短毛猫蓝色.png
42,42-british-shorthair-golden,英国短毛猫金色,42_英国短毛猫金色.png
43,43-british-longhair-lilac,英国长毛猫丁香色,43_英国长毛猫丁香色.png
44,44-chartreux,沙特尔猫,44_沙特尔猫.png
45,45-russian-blue,俄罗斯蓝猫,45_俄罗斯蓝猫.png
46,46-american-shorthair-silver-tabby,美国短毛猫银虎斑,46_美国短毛猫银虎斑.png
47,47-american-wirehair,美国硬毛猫,47_美国硬毛猫.png
48,48-american-curl-longhair,美国卷耳猫长毛,48_美国卷耳猫长毛.png
49,49-scottish-fold,苏格兰折耳猫,49_苏格兰折耳猫.png
50,50-japanese-bobtail,日本短尾猫,50_日本短尾猫.png
51,51-kurilian-bobtail,库里尔短尾猫,51_库里尔短尾猫.png
52,52-manx-short-tail,马恩岛猫短尾,52_马恩岛猫短尾.png
53,53-devon-rex,德文卷毛猫,53_德文卷毛猫.png
54,54-selkirk-rex-longhair,塞尔凯克卷毛猫长毛,54_塞尔凯克卷毛猫长毛.png
55,55-laperm-longhair,拉邦卷毛猫长毛,55_拉邦卷毛猫长毛.png
56,56-chinese-domestic-dark-brown-tabby,中华田园猫深棕狸花,56_中华田园猫深棕狸花.png
57,57-chinese-domestic-golden-brown-tabby,中华田园猫金棕狸花,57_中华田园猫金棕狸花.png
58,58-chinese-domestic-tabby-white,中华田园猫狸白,58_中华田园猫狸白.png
59,59-chinese-domestic-high-white-black,中华田园猫高白奶牛,59_中华田园猫高白奶牛.png
60,60-chinese-domestic-balanced-black-white,中华田园猫均衡奶牛,60_中华田园猫均衡奶牛.png
61,61-chinese-domestic-moustache-black-white,中华田园猫八字胡奶牛,61_中华田园猫八字胡奶牛.png
62,62-chinese-domestic-high-white-calico,中华田园猫高白三花,62_中华田园猫高白三花.png
63,63-chinese-domestic-balanced-calico,中华田园猫均衡三花,63_中华田园猫均衡三花.png
64,64-chinese-domestic-low-white-calico,中华田园猫低白三花,64_中华田园猫低白三花.png
65,65-siamese-blue-point,暹罗猫蓝重点色,65_暹罗猫蓝重点色.png
66,66-siamese-chocolate-point,暹罗猫巧克力重点色,66_暹罗猫巧克力重点色.png
67,67-abyssinian-sorrel,阿比西尼亚猫索雷尔色,67_阿比西尼亚猫索雷尔色.png
68,68-russian-blue,俄罗斯蓝猫,68_俄罗斯蓝猫.png
69,69-british-shorthair-deep-blue,英国短毛猫深蓝色,69_英国短毛猫深蓝色.png
70,70-blue-eyed-white-shorthair,短毛蓝眼白猫,70_短毛蓝眼白猫.png
71,71-amber-eyed-white-shorthair,短毛琥珀眼白猫,71_短毛琥珀眼白猫.png
72,72-split-face-tortoiseshell-shorthair,短毛分脸玳瑁猫,72_短毛分脸玳瑁猫.png
73,73-american-shorthair-silver-tabby-white,美国短毛猫银虎斑加白,73_美国短毛猫银虎斑加白.png
74,74-american-shorthair-brown-classic-tabby,美国短毛猫棕经典虎斑,74_美国短毛猫棕经典虎斑.png
75,75-british-shorthair-deep-golden-shaded,英国短毛猫深金渐层,75_英国短毛猫深金渐层.png
76,76-british-shorthair-light-golden-shaded,英国短毛猫浅金渐层,76_英国短毛猫浅金渐层.png
77,77-british-shorthair-silver-shaded,英国短毛猫银渐层,77_英国短毛猫银渐层.png
78,78-devon-rex-cream-tabby,德文卷毛猫奶油虎斑,78_德文卷毛猫奶油虎斑.png
79,79-maine-coon-silver-tabby,缅因猫银虎斑,79_缅因猫银虎斑.png
